SHOE_NAME,Brand,Features,MSRP (USD),Randing,Release Date,Top,Waterproofing,Weight (oz)
La Sportiva TX4,La Sportiva,"{Lightweight, Heel Brake, Breathable}",140.00,Full,2019,Low,,13.1
Scarpa Mescalito,Scarpa,{Heel Brake},190.00,Full,2019,Low,Water Resistant,14.6
Adidas Terrex Swift Solo,Adidas,{Cheap},100.00,Forefoot,2022,Low,,19.6
La Sportiva TX2,La Sportiva,"{Lightweight, Breathable}",130.00,Full,2019,Low,,9.9
Scarpa Crux,Scarpa,{Lightweight},130.00,Forefoot,2019,Low,Water Resistant,13.5
La Sportiva Boulder X,La Sportiva,{Heel Brake},120.00,Full,2019,Low,,17.0
Salewa Wildfire GTX,Salewa,{Heel Brake},170.00,Forefoot,2019,Low,Waterproof,
Black Diamond Session,Black Diamond,"{Tongue Pull Loop, Lightweight, Breathable}",120.00,Forefoot,2020,Low,,10.0
Scarpa Zen Pro,Scarpa,"{Tongue Pull Loop, Heel Brake}",180.00,Full,2019,Low,,
Black Diamond Technician,Black Diamond,"{Tongue Pull Loop, Lightweight, Breathable}",135.00,Forefoot,2020,Low,,10.0
Five Ten Guide Tennie,Five Ten,{},120.00,Forefoot,2019,Low,Water Resistant,
La Sportiva TX Guide,La Sportiva,"{Lightweight, Heel Brake}",160.00,Forefoot,2020,Low,,12.3
Salewa Wildfire,Salewa,"{Heel Brake, Breathable}",130.00,Forefoot,2019,Low,,
La Sportiva TX4 Mid GTX,La Sportiva,{Heel Brake},190.00,Full,2019,Mid,Waterproof,16.2
La Sportiva TX Guide Leather,La Sportiva,"{Lightweight, Heel Brake, Breathable}",170.00,Forefoot,2021,Low,,13.7
La Sportiva TX3,La Sportiva,"{Lightweight, Heel Brake}",135.00,Full,2019,Low,,12.7
Salewa Wildfire Edge,Salewa,{Heel Brake},170.00,Forefoot,2019,Low,,
Salewa Wildfire Edge Mid GTX,Salewa,"{Tongue Pull Loop, Heel Brake}",220.00,Forefoot,2019,Mid,Waterproof,17.8
Scarpa Gecko,Scarpa,{Lightweight},150.00,,2019,Low,Water Resistant,13.4
Salewa Wildfire Edge GTX,Salewa,{Heel Brake},190.00,Forefoot,2021,Low,Waterproof,15.4
La Sportiva TX Canyon,La Sportiva,{},189.00,Forefoot,2023,Mid,Water Resistant,15.3
Aku Rock DFS GTX,Aku,"{Tongue Pull Loop, Heel Brake}",200.00,Full,2023,Low,Waterproof,14.1
Evolv Rebel,Evolv,"{Cheap, Lightweight}",100.00,Forefoot,2020,Low,Water Resistant,10.0
