SHOE_NAME,Brand,Features,Lockdown,MSRP (USD),Release Date,Signature,Top,Weight (oz)
Nike Zoom Freak 4,Nike,{},{Laces},130.00,2022,Giannis Antetokounmpo,Low,11.0
Nike KD 15,Nike,{},{Laces},150.00,2022,Kevin Durant,Low,12.6
Jordan Luka 1,Jordan,{},{Laces},110.00,2022,Luka Doncic,Low,12.1
Nike Lebron 20,Nike,{Expensive},{Laces},200.00,2022,LeBron James,Low,
Nike Cosmic Unity 2,Nike,{Outdoor},{Laces},160.00,2022,,Low,12.1
Adidas Dame 8,Adidas,{Ankle Support},{Laces},120.00,2022,Damian Lillard,Mid,12.7
Reebok Question Mid,Reebok,{Ankle Support},{Laces},175.00,,Allen Iverson,Mid,
Air Jordan XXXVII,Jordan,"{Ankle Support, Outdoor}",{Laces},185.00,2022,Michael Jordan,Mid,12.7
Nike Lebron 19,Nike,"{Expensive, Ankle Support}",{Laces},200.00,2021,LeBron James,High,18.0
Nike Kyrie Infinity,Nike,{Ankle Support},{Laces},130.00,2023,Kyrie Irving,Mid,12.2
Nike Lebron Witness 6,Nike,"{Ankle Support, Outdoor, Cheap}",{},100.00,2021,LeBron James,Mid,13.1
Adidas Harden Vol. 6,Adidas,{Outdoor},{Laces},140.00,2022,James Harden,Low,15.0
PUMA Rise Nitro,PUMA,{},{Laces},125.00,2022,,Low,12.6
Jordan Zion 2,Jordan,"{Ankle Support, Outdoor}",{},120.00,2022,Zion Williamson,Mid,13.3
Nike Cosmic Unity,Nike,{Outdoor},{},150.00,2021,,Low,13.3
Air Jordan 6,Jordan,"{Retro, Ankle Support}",{Laces},190.00,,Michael Jordan,Mid,18.0
Nike Giannis Immortality,Nike,{Cheap},{Laces},80.00,2021,Giannis Antetokounmpo,Low,10.4
Nike KD 14,Nike,{Ankle Support},"{Laces, Strap}",150.00,2021,Kevin Durant,Mid,12.5
PUMA RS-Dreamer,PUMA,{Outdoor},{Laces},125.00,2019,,Low,16.0
Nike PG 6,Nike,{},{Laces},120.00,2022,Paul George,Low,12.2
Nike Giannis Immortality 2,Nike,"{Outdoor, Cheap}",{Laces},85.00,2022,Giannis Antetokounmpo,Low,10.4
Nike Zoom Freak 3,Nike,{},"{Laces, Strap}",120.00,2021,,Low,
PUMA Clyde All-Pro,PUMA,"{Retro, Outdoor}",{},130.00,2021,Clyde Frazier,Low,11.9
Adidas Dame 7,Adidas,"{Ankle Support, Outdoor}",{Laces},110.00,2019,Damian Lillard,Mid,
Adidas Pro Model 2G,Adidas,"{Retro, Ankle Support, Cheap}",{Laces},100.00,2019,,Mid,
Nike Lebron Witness 7,Nike,"{Ankle Support, Outdoor}",{Laces},115.00,2022,LeBron James,Mid,
Nike PG 5,Nike,{},{Laces},110.00,2021,Paul George,Low,
Nike Kyrie Low 5,Nike,{},{Laces},110.00,2022,Kyrie Irving,Low,11.0
Fila Grant Hill 2,Fila,{Ankle Support},{Laces},120.00,,Grant Hill,Mid,
Nike Air More Uptempo,Nike,"{Retro, Ankle Support}",{Laces},160.00,,,Mid,17.0
Adidas Trae Young 1,Adidas,{},"{Laces, Slip-On}",140.00,2021,Trae Young,Low,13.9
Adidas D.O.N. Issue #4,Adidas,{Outdoor},{Laces},120.00,2022,Donovan Mitchell,Low,13.4
Nike Lebron 18,Nike,"{Expensive, Ankle Support}",{Laces},200.00,2019,LeBron James,Mid,15.7
Nike Precision 6,Nike,{Cheap},{Laces},75.00,2022,,Low,10.2
Jordan Zion 1,Jordan,{},{Laces},120.00,2021,Zion Williamson,Low,12.1
Nike Renew Elevate 3,Nike,{Cheap},{Laces},80.00,2022,,Low,10.4
Nike Air Zoom G.T. Jump,Nike,"{Expensive, Ankle Support}",{Laces},200.00,2022,,High,17.6
Adidas Harden Stepback 3,Adidas,{Cheap},{Laces},80.00,2022,James Harden,Low,
Nike Lebron 19 Low,Nike,{},{Laces},160.00,2022,LeBron James,Low,14.0
Jordan One Take 4,Jordan,"{Outdoor, Cheap}",{Laces},100.00,2022,Russell Westbrook,Low,10.8
Air Jordan 36 Low,Jordan,{},{Laces},165.00,2022,Michael Jordan,Low,11.8
Reebok Shaq Attaq,Reebok,{Ankle Support},{Laces},160.00,,Shaquille O'Neal,High,
Reebok Answer IV,Reebok,{Ankle Support},"{Zipper, Strap}",150.00,,Allen Iverson,Mid,14.0
Adidas D.O.N. Issue #3,Adidas,{},{Laces},110.00,2021,Donovan Mitchell,Low,12.2
PUMA Court Rider,PUMA,{Cheap},{Laces},100.00,2021,,Low,13.6
Nike Precision 5,Nike,{Cheap},{Laces},70.00,2021,,Low,9.9
Nike Air Max Impact 4,Nike,"{Outdoor, Cheap}",{Laces},90.00,2022,,Low,
New Balance TWO WXY V3,New Balance,{Ankle Support},{Laces},120.00,2022,,Mid,11.7
Nike Kyrie 7,Nike,"{Ankle Support, Outdoor}",{Laces},130.00,2019,Kyrie Irving,Mid,12.0
Adidas Exhibit B,Adidas,{Ankle Support},{Laces},120.00,2022,Candace Parker,Mid,
Nike Kyrie 6,Nike,"{Ankle Support, Outdoor}","{Laces, Strap}",130.00,,Kyrie Irving,Mid,13.8
Nike Air Max Impact 3,Nike,"{Ankle Support, Outdoor, Cheap}",{Laces},75.00,2022,,Mid,12.3
Nike Lebron Witness 5,Nike,"{Ankle Support, Cheap}",{},100.00,2021,LeBron James,Mid,12.1
