SHOE_NAME,Brand,Cleat Design,Closure,MSRP (USD),Release Date,Rigidity,Use,Weight (oz)
Five Ten Freerider Pro,Five Ten,{Flat},{Lace},150.00,2019,Stiff,{Mountain},12.0
Five Ten Freerider,Five Ten,{Flat},{Lace},100.00,2019,Stiff,{Mountain},15.0
Nike SuperRep Cycle,Nike,"{2 Holes, 3 Holes}",{Velcro},120.00,2020,Moderate,{Indoor},
Giro Empire SLX,Giro,{3 Holes},{Lace},375.00,2019,Rigid,{Road},6.5
Five Ten Hellcat Pro,Five Ten,"{Flat, 2 Holes}","{Velcro, Lace}",180.00,2019,Stiff,{Mountain},18.7
Lake CX332,Lake,{3 Holes},{BOA},450.00,2020,Rigid,{Road},
Five Ten Trailcross LT,Five Ten,{Flat},{Lace},140.00,2020,Stiff,{Mountain},12.2
Fizik Terra X5,Fizik,{2 Holes},"{Velcro, BOA}",150.00,2019,Stiff,{Mountain},9.9
Five Ten Sleuth,Five Ten,{Flat},{Lace},100.00,2019,Stiff,"{Casual, Mountain}",12.2
Giro Empire VR90,Giro,{2 Holes},{Lace},300.00,2019,Rigid,"{Cyclocross, Mountain}",11.1
Lake CX238,Lake,{3 Holes},{BOA},330.00,2020,Rigid,{Road},10.2
Five Ten Sleuth DLX,Five Ten,{Flat},{Lace},120.00,2020,Stiff,"{Casual, Mountain}",12.3
Five Ten Impact Pro,Five Ten,{Flat},{Lace},160.00,2019,Stiff,{Mountain},17.5
Giro Sector,Giro,{2 Holes},{BOA},225.00,2020,Moderate,{Mountain},12.1
Five Ten Hellcat,Five Ten,{2 Holes},"{Velcro, Lace}",150.00,2020,Rigid,{Mountain},16.4
Giro Rumble VR,Giro,{2 Holes},{Lace},100.00,2019,Moderate,{Mountain},15.0
Etnies Culvert Mid,Etnies,{Flat},"{Velcro, Lace}",145.00,2022,Stiff,{Mountain},
Five Ten Kestrel Lace,Five Ten,{2 Holes},"{Velcro, Lace}",150.00,2019,Stiff,"{Casual, Mountain}",15.9
Sidi Genius 10,Sidi,{3 Holes},{BOA},300.00,2020,Stiff,{Road},11.0
Fizik Terra Atlas,Fizik,{2 Holes},{BOA},160.00,2022,Moderate,"{Cyclocross, Mountain, Road}",12.5
Shimano RX800,Shimano,{2 Holes},"{Velcro, BOA}",260.00,2022,Stiff,{Gravel},9.3
Adidas Indoor Cycling Shoes,Adidas,{3 Holes},{Velcro},130.00,2022,Stiff,{Indoor},
Etnies Semenuk Pro,Etnies,{Flat},{Lace},135.00,2022,Stiff,"{Casual, Mountain}",
Etnies Culvert,Etnies,{Flat},{Lace},135.00,2022,Stiff,{Mountain},
Pearl Izumi X-Alp Elevate,Pearl Izumi,{2 Holes},"{Velcro, BOA}",180.00,2020,Moderate,{Mountain},13.2
Giro Empire,Giro,{3 Holes},{Lace},300.00,2020,Rigid,{Road},7.9
Fizik Tempo Overcurve R4,Fizik,{3 Holes},{BOA},200.00,2020,Moderate,{Road},8.1
Five Ten Kestrel Pro BOA,Five Ten,{2 Holes},"{Velcro, BOA}",200.00,2020,Rigid,{Mountain},16.4
Fizik Vento Overcurve X3,Fizik,{2 Holes},{BOA},250.00,2020,Stiff,"{Cyclocross, Mountain}",10.6
Lake MX238,Lake,{2 Holes},{BOA},330.00,2020,Rigid,{Mountain},13.8
Lake CX241,Lake,{3 Holes},{BOA},370.00,2020,Rigid,{Road},
Giro Empire ACC,Giro,{3 Holes},{Lace},300.00,2019,Stiff,{Road},7.6
Etnies Camber Crank,Etnies,{Flat},{Lace},80.00,2022,Stiff,{Mountain},
Pearl Izumi X-Alp Launch SPD,Pearl Izumi,"{Flat, 2 Holes}",{Lace},160.00,2020,Stiff,"{Casual, Mountain}",14.7
Giro Privateer Lace,Giro,{2 Holes},{Lace},140.00,2020,Stiff,{Mountain},12.5
Five Ten Sleuth Slip-On,Five Ten,{Flat},{},70.00,2020,Moderate,{Casual},10.9
Giro Ventana,Giro,{2 Holes},"{Velcro, BOA}",180.00,2020,Stiff,{Mountain},14.7
Pearl Izumi X-Alp Launch,Pearl Izumi,{Flat},{Lace},150.00,2020,Flexible,{Mountain},12.0
Sidi Ergo 5,Sidi,{3 Holes},"{Velcro, BOA}",400.00,2020,Rigid,{Road},11.5
Bont Vaypor S,Bont,{3 Holes},{BOA},379.00,2020,Rigid,{Road},8.1
Mavic Cosmic Elite,Mavic,{3 Holes},"{Velcro, BOA}",180.00,2020,Stiff,"{Triathlon, Road}",9.9
Lake CX403,Lake,{3 Holes},{BOA},550.00,2020,Rigid,{Road},9.7
Fizik Tempo Powerstrap R5,Fizik,{3 Holes},{Velcro},120.00,2020,Stiff,{Road},9.0
Five Ten Freerider DLX,Five Ten,{Flat},{Lace},130.00,2022,Stiff,"{Winter, Casual, Mountain}",
Sidi Sixty,Sidi,{3 Holes},"{Velcro, BOA}",425.00,2020,Rigid,{Road},8.6
Giro Chamber II,Giro,{2 Holes},"{Velcro, Lace}",150.00,2020,Stiff,{Mountain},18.0
Fizik Artica R5,Fizik,{3 Holes},{Velcro},230.00,2020,Stiff,"{Winter, Road}",13.4
Fizik Tempo Overcurve R5,Fizik,{3 Holes},"{Velcro, BOA}",150.00,2020,Stiff,{Road},9.0
Fizik Terra Powerstrap X4,Fizik,{2 Holes},{Velcro},150.00,2020,Stiff,{Mountain},10.3
