SHOE_NAME,Brand,Closure,Features,MSRP (USD),Material,Spiked,Release Date,Style,Waterproofing,Weight (oz)
Footjoy Traditions,Footjoy,{Laces},{},140.00,{Leather},True,2022,Traditional,Waterproof,
Footjoy Hyperflex,Footjoy,{Laces},{},130.00,{Synthetic},True,2020,Athletic,Waterproof,
Adidas ZG21,Adidas,{Laces},{},180.00,{Synthetic},True,2021,Athletic,Waterproof,13.0
Adidas CodeChaos 22,Adidas,{Laces},{Breathable},160.00,{Synthetic},,2022,Athletic,Waterproof,13.0
Footjoy Pro SL,Footjoy,{Laces},{Cheap},100.00,{Leather},,2020,Athletic,Waterproof,14.1
Footjoy Flex XP,Footjoy,{Laces},{Cheap},110.00,{Synthetic},,2020,Athletic,Waterproof,13.2
Nike Vapor Pro,Nike,{Laces},{},130.00,{Synthetic},True,2020,Athletic,Waterproof,12.9
Nike Air Zoom Infinity Tour NEXT%,Nike,{Laces},{Breathable},160.00,{Synthetic},True,2022,Athletic,,12.5
Adidas CodeChaos,Adidas,{Laces},{},150.00,{Synthetic},,2020,Athletic,Waterproof,
Footjoy Flex,Footjoy,{Laces},{Cheap},90.00,{Synthetic},,2020,Athletic,,14.1
Nike Air Zoom Victory Tour 2,Nike,{Laces},{},180.00,{Leather},True,2021,Athletic,Waterproof,
New Balance 574 Greens,New Balance,{Laces},{Cheap},90.00,{Synthetic},,2020,Athletic,Waterproof,13.1
Jordan ADG 4,Jordan,{Laces},{Breathable},185.00,{Leather},,2022,Traditional,,15.0
Footjoy Stratos,Footjoy,{Laces},{},200.00,{Leather},,2021,Athletic,Waterproof,15.0
Nike Vapor,Nike,{Laces},{Cheap},70.00,{Synthetic},True,2020,Athletic,Water-Resistant,13.6
Footjoy Contour Casual,Footjoy,{Laces},{},130.00,{Leather},,2022,Athletic,Waterproof,
Footjoy Hyperflex BOA,Footjoy,{BOA},{},180.00,{Knit},True,2021,Athletic,Waterproof,12.8
Footjoy Pro SL Carbon,Footjoy,{Laces},{},200.00,{Leather},,2020,Athletic,Waterproof,
Air Jordan 1 Low G,Jordan,{Laces},{},140.00,{Leather},,2022,,Waterproof,
Nike Air Max 90 G,Nike,{Laces},{},130.00,{Synthetic},,2021,Athletic,Waterproof,12.7
Nike Roshe G,Nike,{Laces},{Cheap},80.00,{Synthetic},,2019,Athletic,,11.1
Nike Infinity Pro 2,Nike,{Laces},{Cheap},110.00,{Synthetic},,2022,Athletic,Waterproof,
Adidas ZG23,Adidas,{Laces},{},200.00,{Synthetic},True,2023,Athletic,Waterproof,13.8
Footjoy Pro SL Sport,Footjoy,{Laces},{},170.00,{Synthetic},,2022,Athletic,Waterproof,12.0
PUMA Proadapt Alphacat,PUMA,{Laces},{},160.00,{Synthetic},,2022,Athletic,Waterproof,13.0
Footjoy HyperFlex Carbon,Footjoy,{Laces},{},200.00,"{Knit, Ortholite}",True,2023,Athletic,Waterproof,11.5
Footjoy Premiere Series Packard,Footjoy,{Laces},{},200.00,"{Leather, Ortholite}",True,2022,Traditional,Waterproof,
Footjoy Originals,Footjoy,{Laces},{Cheap},90.00,{Synthetic},True,2022,Traditional,Waterproof,15.2
Nike Air Max 270 G,Nike,"{Laces, Slip-On}",{},150.00,{Synthetic},,2022,Athletic,Waterproof,
Footjoy Fuel,Footjoy,{Laces},{},130.00,{Synthetic},,2022,,Waterproof,
Footjoy Superlites XP,Footjoy,{Laces},{Cheap},100.00,{Synthetic},,2020,Athletic,Waterproof,12.0
Footjoy Tour Alpha,Footjoy,{Laces},{},190.00,"{Leather, Ortholite}",True,2022,Athletic,Waterproof,
Callaway Coronado v2,Callaway,{Laces},{},140.00,{Leather},True,2021,Athletic,Waterproof,15.3
PUMA Ignite Fasten8,PUMA,{Laces},{},120.00,{Synthetic},,2022,Athletic,Waterproof,13.4
Jordan ADG 3,Jordan,{Laces},{},140.00,{Leather},,2021,Athletic,Waterproof,
Nike Air Zoom Infinity Tour,Nike,{Laces},{},160.00,{Knit},True,2020,Athletic,Waterproof,
PUMA RS-G,PUMA,{Laces},{},130.00,{Synthetic},,2021,Athletic,Waterproof,13.4
New Balance Striker v3,New Balance,{Laces},{Cheap},110.00,{Leather},True,2022,Athletic,Waterproof,11.6
Footjoy DryJoys Tour,Footjoy,{Laces},{Expensive},290.00,{Leather},True,2020,Traditional,Waterproof,19.0
ECCO BIOM C4,ECCO,{Laces},{Expensive},230.00,"{Leather, Ortholite}",,2022,Athletic,Waterproof,16.0
ECCO Biom H4,ECCO,{},{},200.00,{},,2021,,,
Adidas Tour360 XT,Adidas,{Laces},{},200.00,{Leather},True,2019,Athletic,Waterproof,17.1
Nike Air Zoom Victory Tour,Nike,{Laces},{},180.00,{Leather},True,2019,Athletic,Waterproof,
Footjoy Traditions Spikeless,Footjoy,{Laces},{},140.00,{Leather},,2023,Traditional,Waterproof,8.0
PUMA Ignite Articulate,PUMA,{Laces},{},180.00,{Synthetic},True,2022,Athletic,Waterproof,15.5
Footjoy Flex Coastal,Footjoy,{Laces},"{Cheap, Breathable}",100.00,{Knit},,2020,Athletic,,11.5
NOBULL Matryx Golf Shoe,NoBull,{Laces},{Breathable},179.00,{Synthetic},,2022,Athletic,Water-Resistant,12.2
Nike Roshe G Tour,Nike,{Laces},{Cheap},110.00,{Synthetic},True,2020,Athletic,Waterproof,14.1
Footjoy Premiere Series Field,Footjoy,{Laces},{},200.00,"{Leather, Ortholite}",True,2022,Traditional,Waterproof,14.4
