SHOE_NAME,Brand,Closure,Cut,MSRP (USD),Pronation,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available
Merrell Moab 3,Merrell,Laces,Low,110.00,"{Supination, Neutral, Overpronation}",2022,{Summer},{Day},,16.2,"{Standard, Wide}"
Merrell Hydro Moc,Merrell,Slip On,Low,50.00,{},2020,{Summer},{Water},,7.2,{Standard}
Chaco Ramble Puff,Chaco,Laces,Mid,85.00,{},2022,{},"{Snow, Light}",,7.0,{Standard}
Merrell Moab 2 Waterproof,Merrell,Laces,Low,120.00,{},,{},{Day},Waterproof,16.6,"{Standard, Wide}"
Merrell Moab Speed,Merrell,Laces,Low,120.00,{},2021,{Summer},"{Speed, Day}",,11.3,"{Standard, Wide}"
KEEN Targhee II,KEEN,Laces,Low,130.00,{Neutral},2020,{Summer},{Day},Waterproof,15.4,"{Standard, Wide}"
Columbia Plateau,Columbia,Laces,Low,90.00,{},2022,{Summer},{Speed},,12.2,"{Standard, Wide}"
Merrell Moab 3 Waterproof,Merrell,Laces,Low,135.00,{},2022,{},{Day},Waterproof,16.0,"{Standard, Wide}"
Salomon X Ultra 4,Salomon,Laces,Low,120.00,{},2021,{Summer},"{Speed, Day}",,12.7,{Standard}
Merrell Moab 2 GTX,Merrell,Laces,Low,145.00,{},,{},{Day},Waterproof,14.9,"{Standard, Wide}"
Hoka Anacapa Low GTX,Hoka,Laces,Low,170.00,{Neutral},2021,{},{Day},Waterproof,14.0,{Standard}
Adidas Terrex Swift R3 GTX,Adidas,Laces,Low,150.00,{},2021,{},{Speed},Waterproof,15.0,{Standard}
Salomon X Ultra 4 GTX,Salomon,Laces,Low,150.00,"{Supination, Neutral}",2021,{Winter},"{Speed, Day}",Waterproof,13.3,"{Standard, Wide}"
Salomon Outpulse GTX,Salomon,Laces,Low,140.00,{Neutral},2022,{},{Day},Waterproof,12.1,{Standard}
Adidas Terrex Trailmaker,Adidas,Laces,Low,110.00,{},2020,{},{Light},,8.8,{Standard}
Salomon X Ultra 3 GTX,Salomon,Laces,Low,150.00,{},,{},{Day},Waterproof,13.4,"{Standard, Wide}"
Teva ReEMBER Terrain,Teva,Slip On,Low,90.00,{},2023,{},"{Snow, Light}",,10.2,{Standard}
Adidas Terrex Free Hiker Cold.RDY,Adidas,Slip On,Mid,250.00,{},2021,{Winter},"{Snow, Day}",Waterproof,,{Standard}
Adidas Terrex Swift R2 GTX,Adidas,Laces,Low,140.00,{},,{},{Day},Waterproof,12.3,{Standard}
Merrell Alverstone,Merrell,Laces,Low,80.00,{},2019,{Summer},{Day},,13.5,"{Standard, Wide}"
Chaco Chillos,Chaco,Laces,Low,65.00,{},2022,{Summer},{Light},,5.6,{Standard}
Danner Trail 2650,Danner,Laces,Low,150.00,{},2019,{Summer},"{Speed, Day}",,12.0,"{Standard, Wide}"
Adidas Terrex Swift R3,Adidas,Laces,Low,130.00,{},2021,{},{Speed},,15.0,{Standard}
Salomon Outpulse,Salomon,Laces,Low,120.00,{},2022,{Summer},"{Speed, Day}",,11.5,{Standard}
KEEN Voyageur,KEEN,Laces,Low,115.00,{},,{Summer},{Desert},,15.6,{Standard}
Merrell Moab Speed GTX,Merrell,Laces,Low,125.00,{},2021,{},"{Speed, Day}",Waterproof,10.2,{Standard}
Adidas Terrex AX3,Adidas,Laces,Low,80.00,{},2019,{Summer},{Speed},,12.5,"{Standard, Wide}"
Columbia Crestwood,Columbia,Laces,Low,80.00,{Neutral},2020,{},{Day},,,"{Standard, Wide}"
Columbia Flow Centre,Columbia,Laces,Mid,100.00,{},2022,{Summer},"{Urban, Day}",,13.5,{Standard}
Merrell Moab 2 Ventilator,Merrell,Laces,Low,100.00,{Overpronation},,{Summer},{Day},,15.7,"{Standard, Wide}"
Vasque Juxt,Vasque,Laces,Low,120.00,{},,{},"{Backpacking, Day}",,14.5,"{Standard, Wide}"
Oboz Sawtooth II Low,Oboz,Laces,Low,110.00,{},2019,{Summer},{Day},,15.6,"{Standard, Wide}"
Merrell Speed Solo,Merrell,Laces,Low,110.00,{},2023,{},{Day},Waterproof,12.2,{Standard}
The North Face Vectiv Taraval,The North Face,Laces,Low,125.00,{},2022,{Summer},"{Speed, Day}",,12.4,"{Narrow, Standard}"
KEEN Targhee Vent,KEEN,Laces,Low,155.00,{},,{Summer},{Day},,14.8,{Standard}
Salomon Outbound Prism,Salomon,Laces,Low,80.00,{Neutral},2021,{Summer},"{Light, Urban}",,9.5,{Standard}
Chaco Ramble Puff Clog,Chaco,Slip On,Low,75.00,{},2023,{},{Light},,7.0,{Standard}
Adidas Terrex AX4 GTX,Adidas,Laces,Low,130.00,{Neutral},2022,{},{Day},Waterproof,15.2,{Standard}
Salomon X Ultra Pioneer,Salomon,Laces,Low,110.00,{},2022,{Summer},{Day},,13.8,{Standard}
Merrell Yokota 2,Merrell,Laces,Low,90.00,{},2019,{Summer},{Day},,13.3,"{Standard, Wide}"
Danner Trail 2650 GTX,Danner,Laces,Low,170.00,{},2019,{},"{Speed, Day}",Waterproof,13.5,"{Standard, Wide}"
Columbia Trailstorm Waterproof,Columbia,Laces,Low,100.00,{},2021,{},"{Urban, Day}",Waterproof,11.2,"{Standard, Wide}"
Salomon OUTline GTX,Salomon,Laces,Low,130.00,{},,{},"{Speed, Urban, Day}",Waterproof,12.3,"{Standard, Wide}"
Skechers Terrabite,Skechers,Laces,Low,85.00,{},2022,{Winter},"{Snow, Light, Urban, Day}",,,"{Standard, Wide}"
Danner Jag Low,Danner,Laces,Low,130.00,{Neutral},2019,{Summer},"{Urban, Day}",,14.5,{Standard}
Lems Trailhead,Lems,Laces,Low,140.00,{},2023,{Summer},"{Urban, Day}",,11.7,{Standard}
Lowa Innox Pro GTX Lo,Lowa,Laces,Low,195.00,{Neutral},2020,{},"{Speed, Day}",Waterproof,12.7,{Standard}
Merrell Alverstone Waterproof,Merrell,Laces,Low,100.00,{},2019,{},{Day},Waterproof,14.0,"{Standard, Wide}"
Columbia Fairbanks Low,Columbia,Laces,Low,90.00,{},2019,{Summer},"{Urban, Day}",,11.0,{Standard}
Merrell Forestbound,Merrell,Laces,Low,100.00,{Neutral},2020,{Summer},{Day},,11.3,{Standard}
KEEN Targhee III Waterproof,KEEN,Laces,Low,135.00,{},,{},{Day},Waterproof,15.4,"{Narrow, Standard, Wide}"
