SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Terrain,Toebox,Waterproofing,Weight (oz),Widths Available
On Cloud,Neutral,High,On,Balanced,Semi-Flexible,,,6.5,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.1,{}
Hoka Clifton 8,Neutral,High,Hoka,Plush,Balanced,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Wide,,8.8,{}
Brooks Ghost 14,Neutral,High,Brooks,Plush,Semi-Flexible,,,10.5,140.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,9.9,{}
Adidas Ultraboost,Neutral,High,Adidas,Plush,Semi-Flexible,,,10.0,180.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.7,{}
Adidas Ultraboost 22,Neutral,High,Adidas,Balanced,Balanced,,,10.5,190.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,11.7,{}
Brooks Adrenaline GTS 22,Stability,Low,Brooks,Firm,Semi-Flexible,,,10.5,140.00,{Overpronation},2021,{Heel},Road,Medium,,10.2,{}
Hoka Clifton 9,Neutral,,Hoka,Balanced,Balanced,,,6.5,145.00,{},2023,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.8,{}
Hoka Bondi 8,Neutral,High,Hoka,Plush,Semi-Rigid,,,2.5,165.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Narrow,,11.0,{}
Brooks Glycerin 20,Neutral,High,Brooks,Plush,Balanced,,,10.0,160.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,10.1,{}
Altra Lone Peak 6,Neutral,High,Altra,Balanced,Balanced,,,0.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Extra Wide,,9.7,{}
Hoka Bondi 7,Neutral,High,Hoka,Plush,Balanced,,,4.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Narrow,,11.4,{}
Nike Air Zoom Pegasus 39,Neutral,High,Nike,Balanced,Balanced,,,10.0,130.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,9.2,{}
Saucony Endorphin Speed 2,Neutral,High,Saucony,Balanced,Semi-Flexible,,,6.5,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.0,{}
Saucony Endorphin Speed,Neutral,High,Saucony,Balanced,Balanced,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.8,{}
Nike React Infinity Run Flyknit 3,Neutral,High,Nike,Balanced,Semi-Flexible,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,10.9,{}
Hoka Mach 5,Neutral,High,Hoka,Balanced,Balanced,,,5.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Wide,,8.2,{}
On Cloudmonster,Neutral,High,On,Balanced,Balanced,,,6.0,170.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.7,{}
Brooks Adrenaline GTS 21,Stability,Low,Brooks,Plush,Balanced,,,12.0,130.00,{Overpronation},2020,{Heel},Road,Wide,,10.4,{}
Brooks Revel 5,Neutral,High,Brooks,Balanced,Semi-Flexible,,,8.0,100.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.8,{}
New Balance Fresh Foam Roav,Neutral,High,New Balance,Balanced,Semi-Flexible,,,8.0,80.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.9,{}
ASICS Gel Nimbus 24,Neutral,High,ASICS,Balanced,Balanced,,,10.0,160.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,10.2,{}
Nike React Infinity Run Flyknit 2,Neutral,High,Nike,Balanced,Semi-Flexible,,,7.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.7,{}
On Cloud X,Neutral,High,On,Balanced,Semi-Flexible,,,6.0,140.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.1,{}
Brooks Glycerin 19,Neutral,High,Brooks,Plush,Semi-Flexible,,,10.0,150.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Wide,,10.2,{}
Hoka Arahi 6,Stability,Low,Hoka,Firm,Balanced,,,5.0,140.00,{Overpronation},2022,"{Forefoot, Midfoot}",Road,Medium,,9.3,{}
ASICS Novablast 3,Neutral,High,ASICS,Plush,Balanced,,,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.9,{}
Nike Zoom Fly 5,Neutral,High,Nike,Firm,Rigid,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,10.1,{}
New Balance FuelCell,Neutral,High,New Balance,Firm,Semi-Flexible,,,6.0,160.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Narrow,,10.4,{}
ASICS Gel Nimbus 25,Neutral,High,ASICS,Plush,Balanced,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2023,{Heel},Road,Medium,,10.5,{}
Saucony Ride 15,Neutral,High,Saucony,Balanced,Semi-Flexible,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.0,{}
Brooks Ghost 15,Neutral,High,Brooks,Balanced,Balanced,35.0,23.0,12.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,10.1,"{Narrow, Standard, Wide, Extra Wide}"
ASICS Gel Kayano 28,Stability,Low,ASICS,Balanced,Semi-Flexible,,,10.5,160.00,{Overpronation},2021,{Heel},Road,Wide,,10.8,{}
Saucony Triumph 20,Neutral,High,Saucony,Plush,,27.0,37.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,9.7,"{Standard, Wide}"
ASICS Novablast 2,Neutral,High,ASICS,Plush,Balanced,22.0,30.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.9,{Standard}
Saucony Endorphin Pro 2,Neutral,High,Saucony,Balanced,Rigid,,,6.5,200.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.9,{}
Saucony Triumph 19,Neutral,High,Saucony,Balanced,,24.5,32.5,8.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.2,"{Standard, Wide}"
Adidas 4DFWD,Neutral,High,Adidas,Plush,Semi-Flexible,22.5,32.5,10.0,200.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,11.5,{Standard}
On Cloudflyer,Stability,Low,On,Balanced,Semi-Flexible,20.0,27.0,7.0,160.00,{Overpronation},,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.0,"{Standard, Wide}"
Hoka Kawana,Neutral,High,Hoka,Balanced,Balanced,25.0,30.0,5.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,10.0,{Standard}
ASICS Superblast,Neutral,High,ASICS,Balanced,Semi-Rigid,35.5,45.5,10.0,220.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Medium,,8.4,"{Standard, Wide}"
Saucony Endorphin Pro,Neutral,High,Saucony,Balanced,Semi-Rigid,25.0,33.0,8.0,200.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.5,"{Narrow, Standard}"
On Cloudstratus,Stability,Low,On,Firm,Semi-Flexible,20.0,28.0,8.0,170.00,{Overpronation},2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.1,{Standard}
Saucony Guide 15,Stability,Low,Saucony,Balanced,Semi-Flexible,27.0,35.0,8.0,140.00,{Overpronation},2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.5,"{Standard, Wide}"
Adidas Alphabounce,Neutral,High,Adidas,Balanced,Semi-Flexible,12.0,22.0,10.0,100.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.5,{Standard}
Nike Air Zoom Pegasus 38,Neutral,High,Nike,Balanced,Semi-Rigid,17.5,27.5,10.0,120.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,10.0,"{Narrow, Standard, Wide, Extra Wide}"
Nike React Phantom Run Flyknit 2,Neutral,High,Nike,Balanced,Semi-Flexible,19.0,29.0,10.0,140.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,9.5,{Standard}
Saucony Endorphin Speed 3,Neutral,High,Saucony,Balanced,Balanced,28.0,36.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.1,"{Standard, Wide}"
Hoka Mach 4,Neutral,High,Hoka,Balanced,Semi-Flexible,24.0,29.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,8.2,{Standard}
Altra Olympus 4.0,Neutral,High,Altra,Plush,Balanced,33.0,33.0,0.0,170.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Extra Wide,,11.6,"{Standard, Wide}"
Brooks Ghost 13,Neutral,High,Brooks,Balanced,Semi-Flexible,,,10.5,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,10.1,{}
Salomon Speedcross 5,Neutral,High,Salomon,Firm,Semi-Flexible,,,10.5,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Trail,Medium,,11.6,{}
