SHOE_NAME,ARCH_TYPE,BRAND,CUSHIONING,FLEXIBILITY,FOREFOOT_HEIGHT,HEEL_HEIGHT,HEEL_TOE_DROP,MSRP,PRONATION,RELEASE_DATE,STRIKE_PATTERN,TERRAIN,WEIGHT,WIDTH
On Cloud,High,On,Balanced,Flexible,18.0,24.0,6.0,130.00,"Underpronation, Supination, Neutral Pronation",,"{Forefoot, Midfoot, Heel}",Road,8.1,"{Narrow, Standard, Wide, Extra Wide}"
Hoka Clifton 8,High,Hoka,Plush,Moderate,24.0,29.0,5.0,130.00,"Underpronation, Supination, Neutral Pronation",2021,"{Forefoot, Midfoot}",Road,8.8,"{Narrow, Standard, Wide}"
Brooks Ghost 14,High,Brooks,Plush,Flexible,24.0,36.0,12.0,140.00,"Underpronation, Supination, Neutral Pronation",2021,{Heel},Road,9.9,"{Narrow, Standard, Wide, Extra Wide}"
Adidas Ultraboost,High,Adidas,Plush,Flexible,12.0,22.0,10.0,180.00,"Underpronation, Supination, Neutral Pronation",,{Heel},Road,10.7,{Standard}
On Cloudmonster,High,On,Balanced,Moderate,24.0,30.0,6.0,170.00,"Underpronation, Supination, Neutral Pronation",2022,"{Forefoot, Midfoot, Heel}",Road,9.7,{Standard}
Hoka Bondi 7,High,Hoka,Plush,Moderate,29.0,33.0,4.0,150.00,"Underpronation, Supination, Neutral Pronation",2020,"{Forefoot, Midfoot}",Road,11.4,"{Standard, Wide, Extra Wide}"
Brooks Adrenaline GTS 22,Low,Brooks,Firm,Flexible,12.0,24.0,12.0,140.00,Overpronation,2021,{Heel},Road,10.2,"{Narrow, Standard, Wide, Extra Wide}"
Adidas Ultraboost 22,High,Adidas,Balanced,Moderate,21.0,31.0,10.0,190.00,"Underpronation, Supination, Neutral Pronation",2021,{Heel},Road,11.7,{Standard}
Hoka Clifton 9,,Hoka,Balanced,Moderate,27.0,32.0,5.0,145.00,,2023,"{Forefoot, Midfoot, Heel}",Road,8.8,"{Standard, Wide}"
Hoka Bondi 8,High,Hoka,Plush,Stiff,35.0,39.0,4.0,165.00,"Underpronation, Supination, Neutral Pronation",2022,"{Forefoot, Midfoot}",Road,11.0,"{Narrow, Standard, Wide, Extra Wide}"
Brooks Glycerin 20,High,Brooks,Plush,Moderate,24.0,34.0,10.0,160.00,"Underpronation, Supination, Neutral Pronation",2022,{Heel},Road,10.1,"{Standard, Wide}"
Nike Air Zoom Pegasus 39,High,Nike,Balanced,Moderate,23.0,33.0,10.0,130.00,"Underpronation, Supination, Neutral Pronation",2022,{Heel},Road,9.2,"{Standard, Wide, Extra Wide}"
Saucony Endorphin Speed 2,High,Saucony,Balanced,Flexible,27.5,35.5,8.0,160.00,"Underpronation, Supination, Neutral Pronation",2021,"{Forefoot, Midfoot, Heel}",Road,8.0,{Standard}
Hoka Mach 5,High,Hoka,Balanced,Moderate,24.0,29.0,5.0,140.00,"Underpronation, Supination, Neutral Pronation",2022,"{Forefoot, Midfoot}",Road,8.2,"{Narrow, Standard, Wide}"
Saucony Endorphin Speed,High,Saucony,Balanced,Moderate,27.5,35.5,8.0,160.00,"Underpronation, Supination, Neutral Pronation",2020,"{Forefoot, Midfoot, Heel}",Road,7.8,{Standard}
Nike React Infinity Run Flyknit 3,High,Nike,Balanced,Flexible,26.0,34.0,8.0,160.00,"Underpronation, Supination, Neutral Pronation",2022,"{Forefoot, Midfoot, Heel}",Road,10.9,"{Narrow, Standard}"
Brooks Ghost 15,High,Brooks,Balanced,Moderate,35.0,23.0,12.0,140.00,"Underpronation, Supination, Neutral Pronation",2022,{Heel},Road,10.1,"{Narrow, Standard, Wide, Extra Wide}"
