SHOE_NAME,Brand,Lacing System,MSRP (USD),Price Tier,Release Date,Surface,Top,Weight (oz)
Adidas Samba Classic,Adidas,Laced,70.00,Cheap,,Indoor,Low,
Nike Mercurial Superfly 7,Nike,Laced,250.00,,2019,Firm Ground,Mid,
Nike Tiempo Legend 9 Elite FG,Nike,Laced,230.00,,2021,Firm Ground,Low,7.6
Nike Mercurial Vapor 14 Elite FG,Nike,Laced,250.00,,2021,Firm Ground,Low,7.2
Nike Streetgato,Nike,,85.00,Cheap,2022,Indoor,Low,11.2
Nike Mercurial Superfly 8 Elite FG,Nike,Laced,275.00,Expensive,2021,Firm Ground,Mid,7.2
Nike Zoom Mercurial Superfly 9 Elite FG,Nike,Laced,275.00,Expensive,2022,Firm Ground,Mid,7.1
Nike React Gato,Nike,Laced,140.00,,2020,Indoor,Low,
Nike Phantom GT2 Elite FG,Nike,Laced,250.00,,2021,Firm Ground,Low,7.7
Nike Gripknit Phantom GX Elite FG,Nike,Laced,250.00,,2023,Firm Ground,Low,7.2
Nike Zoom Mercurial Vapor 15 Elite FG,Nike,Laced,250.00,,2022,Firm Ground,Low,7.1
Adidas Predator Freak+,Adidas,Laceless,275.00,Expensive,2021,Firm Ground,Mid,8.3
Adidas Top Sala,Adidas,Laced,75.00,Cheap,2020,Indoor,Low,
Nike Zoom Mercurial Vapor 15 Pro TF,Nike,Laced,120.00,Cheap,2022,Turf,Low,9.1
Nike Tiempo Legend 9 Pro FG,Nike,Laced,130.00,,2022,Firm Ground,Low,7.8
Adidas Mundial Team,Adidas,Laced,95.00,Cheap,,Turf,Low,
Adidas Mundial Goal,Adidas,Laced,95.00,,,Indoor,Low,
Nike Phantom GT2 Dynamic Fit Elite FG,Nike,Laced,275.00,Expensive,2022,Firm Ground,Mid,7.8
Adidas Predator Edge+ FG,Adidas,Laceless,275.00,Expensive,2022,Firm Ground,Mid,9.2
Nike Zoom Mercurial Superfly 9 Academy MG,Nike,Laced,95.00,Cheap,2022,,Mid,
Adidas Copa Sense.1 FG,Adidas,Laced,225.00,,2022,Firm Ground,Low,9.5
Nike Tiempo Legend 9 Academy TF,Nike,Laced,75.00,Cheap,2023,Turf,Low,
Nike Lunar Gato II IC,Nike,Laced,110.00,Cheap,2020,Indoor,Low,
Nike Phantom GT2 Academy Dynamic Fit MG,Nike,Laced,90.00,Cheap,,,Mid,
Adidas Predator Freak.3 FG,Adidas,Laced,80.00,Cheap,2022,Firm Ground,Low,8.8
Nike Phantom GT Elite FG,Nike,Laced,250.00,,2021,Firm Ground,Low,7.6
Nike Mercurial Vapor 14 Pro FG,Nike,Laced,140.00,,2021,Firm Ground,Low,7.6
Adidas Copa Sense+ FG,Adidas,Laceless,275.00,Expensive,2021,Firm Ground,Low,9.2
Adidas Predator 20.3 Firm Ground,Adidas,Laced,80.00,Cheap,2020,Firm Ground,Mid,
Nike Phantom GT2 Pro FG,Nike,Laced,140.00,,2022,Firm Ground,Low,
Adidas World Cup,Adidas,Laced,130.00,,,Soft Ground,Low,
Adidas X Speedflow+ FG,Adidas,Laceless,275.00,Expensive,2021,Firm Ground,Low,6.8
Adidas Copa Super,Adidas,Laced,75.00,Cheap,,Street,Low,
Mizuno Morelia Neo 3 Beta,Mizuno,Laced,320.00,Expensive,2021,Flexible Ground,Low,7.3
Nike Mercurial Superfly 8 Pro FG,Nike,Laced,150.00,,2021,Firm Ground,Mid,7.8
Mizuno Morelia Neo 3,Mizuno,Laced,290.00,Expensive,2021,,Low,7.1
Nike React Tiempo Legend 9 Pro TF,Nike,Laced,120.00,Cheap,2021,Turf,Low,
Adidas Predator 19.3 Firm Ground,Adidas,Laced,80.00,Cheap,2019,Firm Ground,High,
Joma Top Flex Indoor,Joma,Laced,80.00,Cheap,,Indoor,Low,
Adidas Nemeziz 19.1 Firm Ground,Adidas,Laced,275.00,Expensive,2019,Firm Ground,Low,
Nike Phantom GT Pro FG,Nike,Laced,130.00,,2022,Firm Ground,Low,7.3
Adidas X 18.1 Firm Ground,Adidas,Laced,225.00,,,Firm Ground,Low,
Adidas Copa 20.1 Turf,Adidas,Laced,110.00,Cheap,2020,Turf,Low,
Nike Phantom GT2 Pro Dynamic Fit FG,Nike,Laced,150.00,,2022,Firm Ground,Mid,
Adidas Nemeziz 19.3 Firm Ground,Adidas,Laced,80.00,Cheap,2020,Firm Ground,Mid,
Nike Phantom Vision Elite DF Firm Ground,Nike,Ghost Lacing,275.00,Expensive,,Firm Ground,High,
Nike Phantom GT2 Academy MG,Nike,Laced,85.00,,2023,,Low,
Adidas Copa 20.3 Firm Ground,Adidas,Laced,75.00,Cheap,2020,Firm Ground,Low,
Adidas Kaiser 5 Team,Adidas,Laced,85.00,Cheap,,Turf,Low,
Adidas Goletto 6 Turf,Adidas,Laced,45.00,,2019,Turf,Low,
Adidas Kaiser 5 Liga,Adidas,Laced,85.00,Cheap,,Firm Ground,Low,
PUMA King Pro Firm Ground,PUMA,Laced,100.00,Cheap,2020,Firm Ground,Low,
Adidas Copa 19.4 Firm Ground,Adidas,Laced,50.00,,2020,Firm Ground,Low,
Nike Mercurial Superfly 8 Club MG,Nike,Laced,65.00,Cheap,2023,,Mid,
New Balance Furon 4.0 Pro Firm Ground,New Balance,Laced,250.00,,,Firm Ground,Low,
