SHOE_NAME,Brand,Features,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Release Date,Toebox,Weight (oz),Widths Available
New Balance TRNR,New Balance,{},,,,100.00,2020,Medium,,{}
Nike Metcon 8,Nike,{Low Drop},,,4.0,130.00,2022,,12.4,{}
Nike Free Metcon 4,Nike,{},,,,120.00,2021,Medium,11.2,{}
Nike Metcon 4,Nike,{Low Drop},,,4.0,130.00,,Wide,12.0,{}
Nike Metcon 7,Nike,{},,,7.0,130.00,2021,Medium,12.5,{}
Nike Romaleos 4,Nike,{Expensive},,20.0,,200.00,2020,Medium,20.1,{}
Nike Metcon 6,Nike,{Low Drop},,,4.0,130.00,2020,Wide,12.8,{}
Nike Free Metcon 3,Nike,"{Low Drop, Lightweight}",,,3.0,120.00,2020,Medium,10.5,{}
Nike Air Max Alpha Trainer 5,Nike,{Cheap},,,,90.00,2022,,,{}
Reebok Legacy Lifter,Reebok,{Expensive},,22.0,,200.00,,Narrow,20.6,{}
Nike Air Zoom SuperRep 3,Nike,{},,,,120.00,2022,Medium,,{}
Reebok Nano X2,Reebok,{Lightweight},,,7.0,140.00,2022,,10.2,{}
PUMA Axelion,PUMA,{Cheap},,,,75.00,2020,,,{}
Nike Legend Essential 2,Nike,"{Cheap, Lightweight}",,,,60.00,2020,Medium,9.0,{}
Adidas Dropset Trainer,Adidas,{},,,,130.00,2022,,,{}
Nike Zoom Metcon Turbo 2,Nike,"{Expensive, Low Drop}",,,4.0,150.00,2022,,12.6,{}
Nike Metcon 3,Nike,{Low Drop},,,4.0,130.00,,,11.5,{}
Adidas Powerlift 4,Adidas,{},,15.0,,100.00,2019,Medium,15.0,{}
Adidas Powerlift 5,Adidas,{},,15.0,,120.00,2022,,14.4,{}
New Balance 608 v5,New Balance,{Cheap},,,,70.00,2019,,,{}
PUMA Retaliate,PUMA,{Cheap},,,,70.00,2019,,,{}
Adidas The Total,Adidas,{Low Drop},,,0.0,100.00,2022,,,{}
Nike SuperRep Go 3,Nike,{Lightweight},,5.0,,100.00,2023,,8.9,{}
Inov-8 F-Lite G 300,Inov-8,{Expensive},,14.0,6.0,150.00,2020,Extra Wide,10.6,{}
Nike Air Max Alpha Trainer 4,Nike,{Cheap},,,,85.00,2021,Medium,,{}
Altra Solstice XT 2,Altra,"{Low Drop, Lightweight}",,23.0,0.0,130.00,2022,,10.0,{}
Nike Savaleos,Nike,{},,15.0,,120.00,2021,Medium,15.7,{}
Nike Varsity Compete TR 3,Nike,{Cheap},,,,70.00,2020,Narrow,,{}
Adidas Adipower 3,Adidas,{Expensive},,20.1,,220.00,2022,Narrow,17.6,{}
Nike Reax 8 TR,Nike,{Cheap},,21.0,,85.00,,,,{}
Nike SuperRep Go,Nike,{},,,,100.00,2020,,,{Standard}
New Balance Minimus TR,New Balance,"{Minimalist, Low Drop, Lightweight}",,,0.0,120.00,2022,Narrow,7.9,"{Standard, Wide}"
Nike Metcon 5,Nike,{Low Drop},,,4.0,130.00,2019,Medium,13.2,{Standard}
APL Techloom Tracer,APL,"{Expensive, Lightweight}",,,8.0,250.00,2022,,9.0,"{Narrow, Standard}"
Nike MC Trainer 2,Nike,"{Cheap, Low Drop}",,,5.0,75.00,2022,,11.1,{Standard}
Nike SuperRep Go 2,Nike,{},,,,100.00,2021,Medium,12.0,"{Narrow, Standard}"
PUMA Fuse,PUMA,"{Cheap, Low Drop}",,,4.0,90.00,2021,Narrow,13.0,{Standard}
PUMA Enzo 2,PUMA,{Cheap},,,,70.00,2020,Medium,,{Standard}
Adidas Adipower 2,Adidas,{Expensive},,20.1,,200.00,2019,Medium,17.1,"{Standard, Wide}"
Adidas Power Perfect 3,Adidas,{},,19.0,,130.00,,Medium,,"{Narrow, Standard}"
Reebok Nano X1 Froning,Reebok,{Expensive},,,7.0,150.00,2021,Extra Wide,11.4,{Standard}
Under Armour SlipSpeed,Under Armour,"{Expensive, Low Drop}",,,2.0,150.00,2022,,,{Standard}
Nike Free x Metcon,Nike,{Low Drop},,,5.0,120.00,,Wide,11.2,{Standard}
NOBULL Trainer+,NoBull,{Low Drop},,,4.0,139.00,2022,Medium,12.9,{Standard}
Under Armour TriBase Reign 4,Under Armour,{Low Drop},,,2.0,120.00,2022,,13.0,{Standard}
Under Armour Project Rock 3,Under Armour,{},,,,140.00,2020,,12.5,"{Narrow, Standard}"
Nike Flex Control 4,Nike,{Lightweight},,,,65.00,2020,Medium,9.0,{Standard}
Nike City Rep TR,Nike,{Cheap},,,,85.00,2022,,,"{Narrow, Standard}"
Nike ZoomX SuperRep Surge,Nike,{High Drop},,,10.0,140.00,2021,Medium,12.2,{Standard}
Nike React Metcon Turbo,Nike,"{Expensive, Low Drop, Lightweight}",,,4.0,150.00,2021,Medium,9.0,{Standard}
Adidas Futurenatural,Adidas,{Lightweight},,,8.0,120.00,2021,Medium,9.0,{Standard}
Adidas Trainer V,Adidas,{Cheap},,,,75.00,2022,Medium,,{Standard}
Inov-8 Bare-XF 210 v3,Inov-8,"{Minimalist, Low Drop, Lightweight}",,,0.0,120.00,2021,Medium,7.4,"{Standard, Wide}"
Nike Air Zoom SuperRep,Nike,{},,,,120.00,2020,Medium,,{Standard}
Under Armour Charged Commit TR 3,Under Armour,{Cheap},,,8.0,80.00,2021,Medium,10.6,"{Standard, Extra Wide}"
Reebok Speed TR,Reebok,"{Cheap, Lightweight}",,,,90.00,2020,Medium,8.5,{Standard}
Nike Air Zoom SuperRep 2,Nike,{Lightweight},,,,120.00,2021,Medium,9.9,{Standard}
Nike React Metcon,Nike,{Expensive},,,,150.00,2020,Medium,13.2,{Standard}
