SHOE_NAME,Arch Support,Brand,Closure,Material,MSRP (USD),Release Date,Surface,Toebox,Weight (oz)
On Cloud 5,Neutral,On,"{Bungee, Lace-Up, Slip-On}",Mesh,140.00,2022,"{Cobblestone, Concrete}",Medium,8.4
Skechers Arch Fit,Stability,Skechers,{Lace-Up},Mesh,85.00,2020,{Concrete},Medium,12.0
On Cloudnova,Neutral,On,{Lace-Up},Mesh,150.00,2022,"{Cobblestone, Concrete}",Medium,9.5
Allbirds Tree Runners,Neutral,Allbirds,{Lace-Up},Mesh,105.00,2023,"{Cobblestone, Concrete}",Wide,8.6
Hoka Bondi SR,Neutral,Hoka,{Lace-Up},Leather,160.00,2020,{Concrete},Wide,14.0
On Cloud 5 Waterproof,Neutral,On,"{Lace-Up, Slip-On}",Synthetic,170.00,2022,"{Cobblestone, Concrete}",Medium,10.2
OluKai Moku Pae,Stability,OluKai,"{Lace-Up, Slip-On}",Mesh,120.00,2021,{Concrete},Medium,10.0
New Balance 577,Neutral,New Balance,{Lace-Up},Leather,80.00,,{},,13.6
Adidas Terrex Voyager 21,,Adidas,{Bungee},,100.00,2022,"{Trail, Concrete}",,10.2
OluKai Moloa,Stability,OluKai,{Slip-On},Leather,130.00,2020,{Concrete},,15.0
New Balance 813,Stability,New Balance,{Lace-Up},Leather,90.00,,{Concrete},,13.1
Skechers Summits,Neutral,Skechers,{Slip-On},Mesh,50.00,,{Cobblestone},,
Allbirds Wool Runners,Neutral,Allbirds,{Lace-Up},Wool,110.00,2022,"{Cobblestone, Concrete}",Wide,8.9
OluKai Mio Li,Stability,OluKai,"{Lace-Up, Slip-On}",Mesh,130.00,2021,{Concrete},Medium,11.2
OluKai Nohea Moku,Stability,OluKai,{Slip-On},Mesh,100.00,2020,{Concrete},,14.0
Brooks Addiction Walker,Stability,Brooks,{Lace-Up},Leather,120.00,,{Concrete},,14.0
OluKai Moloa Slipper,Stability,OluKai,{Slip-On},Leather,120.00,2020,{Concrete},,
New Balance 623 v3,Neutral,New Balance,{Lace-Up},Leather,70.00,,{Concrete},,12.9
On Cloud Nexus,Neutral,On,{Bungee},Mesh,150.00,2022,"{Cobblestone, Concrete}",Medium,8.4
Skechers GOwalk Arch Fit - Iconic,Stability,Skechers,{Slip-On},Mesh,85.00,2021,{Concrete},Medium,
OluKai Lae Ahi,Neutral,OluKai,{Slip-On},Mesh,95.00,2021,{Concrete},Medium,9.8
On Cloud X Shift,Neutral,On,{Lace-Up},Synthetic,160.00,2022,"{Cobblestone, Concrete}",Narrow,8.5
Reebok Ridgerider 6,,Reebok,{Lace-Up},Mesh,70.00,2021,"{Trail, Concrete}",Medium,10.6
Brooks Addiction Walker 2,Stability,Brooks,{Lace-Up},Leather,130.00,2020,{Concrete},,14.5
Skechers Arch Fit - Paradyme,Stability,Skechers,{Lace-Up},Mesh,85.00,2020,{Concrete},,13.9
Skechers GOwalk 5,Neutral,Skechers,{Slip-On},Mesh,70.00,2019,{Cobblestone},,7.2
Vibram Furoshiki,Neutral,Vibram FiveFingers,{Velcro},,110.00,,{},,7.0
On Cloudaway,Neutral,On,{Bungee},Mesh,140.00,2022,"{Cobblestone, Trail, Concrete}",Medium,9.9
Reebok Walk Ultra 7 DMX MAX,Neutral,Reebok,{Lace-Up},Leather,70.00,2020,{Concrete},,
Propet Stability Walker,Stability,Propet,{Lace-Up},Leather,85.00,2019,{Concrete},,14.0
Skechers Arch Fit - Waveport,Stability,Skechers,{Slip-On},Synthetic,90.00,2022,"{Cobblestone, Concrete}",Medium,
New Balance 1700,Stability,New Balance,{Lace-Up},Leather,160.00,,{Concrete},,
OluKai Nohea Pae,Neutral,OluKai,{Slip-On},Mesh,100.00,2022,"{Cobblestone, Concrete}",Wide,
Reebok Fusion Flexweave Work,Stability,Reebok,{Lace-Up},Knit,142.00,2020,{Concrete},,12.0
OluKai Nanea Li,Neutral,OluKai,{Slip-On},Canvas,120.00,2022,"{Cobblestone, Concrete}",Medium,
New Balance 877,Neutral,New Balance,{Lace-Up},Suede,90.00,,{Concrete},,12.2
Skechers Arch Fit - Banlin,Stability,Skechers,{Slip-On},Mesh,85.00,2020,{Concrete},,
Skechers GOwalk Max,Neutral,Skechers,{Slip-On},Mesh,55.00,,{Cobblestone},,7.5
Merrell Encore Gust 2,Stability,Merrell,{Slip-On},Leather,110.00,2020,{Concrete},Medium,11.0
OluKai Kakaha,Neutral,OluKai,{Slip-On},Leather,130.00,2022,"{Cobblestone, Concrete}",Medium,
Reebok Trail Cruiser,Neutral,Reebok,{Lace-Up},Synthetic,90.00,2020,{Trail},,
On Cloud Hi Waterproof,Neutral,On,{Bungee},Synthetic,200.00,2022,"{Cobblestone, Trail, Concrete}",Medium,12.5
Skechers Arch Fit - Charge Back,Stability,Skechers,{Lace-Up},,85.00,2020,{Concrete},,
Brooks Addiction Walker Suede,Stability,Brooks,{Lace-Up},Suede,140.00,2020,{Concrete},,13.1
Skechers Arch Fit - Titan,Stability,Skechers,{Lace-Up},Mesh,85.00,2022,"{Cobblestone, Concrete}",Medium,
New Balance 624,Neutral,New Balance,{Lace-Up},Leather,75.00,,"{Cobblestone, Concrete}",Wide,12.5
OluKai Alapa Li,Stability,OluKai,{Slip-On},Mesh,100.00,2020,{Concrete},,10.0
Propet Stability X,Stability,Propet,{Lace-Up},Mesh,80.00,2019,{Concrete},,13.0
Propet Stability Fly,Stability,Propet,{Lace-Up},Mesh,80.00,2020,{Concrete},,11.0
Skechers GOwalk 5 - Merritt,Neutral,Skechers,{Slip-On},Knit,70.00,2020,{Cobblestone},,7.3
Skechers Arch Fit - Big Appeal,Stability,Skechers,{Lace-Up},Mesh,95.00,2022,"{Cobblestone, Concrete}",Medium,
New Balance Hook and Loop 577,Neutral,New Balance,{Velcro},Leather,80.00,,{Concrete},,13.6
New Balance 770,Neutral,New Balance,{Slip-On},Suede,80.00,,{Concrete},,9.9
Skechers Elite Flex - Hartnell,Neutral,Skechers,{Slip-On},Knit,65.00,,{Cobblestone},,8.8
Skechers Arch Fit Motley - Hust,Stability,Skechers,{Slip-On},Leather,90.00,2022,"{Cobblestone, Concrete}",Wide,
Propet Viator Strap,Neutral,Propet,{Velcro},Mesh,85.00,2020,{Cobblestone},,11.0
Reebok Work N Cushion 4.0,Neutral,Reebok,{Lace-Up},Leather,55.00,2020,{Concrete},,
Skechers Arch Fit - Keep It Up,Stability,Skechers,{Slip-On},Knit,90.00,2022,"{Cobblestone, Concrete}",Medium,
Skechers GOwalk 5 - Apprize,Neutral,Skechers,{Slip-On},Mesh,70.00,2019,{Cobblestone},,7.2
Brooks Addiction Walker V-Strap 2,Stability,Brooks,{Velcro},Leather,130.00,2020,{Concrete},,
Easy Spirit Romy,,Easy Spirit,{Lace-Up},Leather,79.00,2022,{},Medium,
Propet Ultra,Neutral,Propet,{Lace-Up},Mesh,105.00,2020,{Concrete},Medium,
New Balance 847 v4,Stability,New Balance,{Lace-Up},Mesh,135.00,2020,{Concrete},,
Skechers GOwalk Evolution Ultra - Impeccable,Neutral,Skechers,{Slip-On},Mesh,65.00,2019,{Cobblestone},,7.2
K-Swiss Tubes Comfort 200,Stability,K-Swiss,{Lace-Up},Mesh,65.00,2022,"{Cobblestone, Concrete}",Medium,
Propet Stability X Strap,Stability,Propet,{Velcro},Mesh,80.00,2020,{Concrete},,12.0
Reebok Ever Road DMX,Neutral,Reebok,{Lace-Up},Mesh,70.00,,{Concrete},,
Propet Connelly,Neutral,Propet,{Lace-Up},Leather,105.00,2019,{Trail},,13.1
Propet Life Walker Strap,Stability,Propet,{Velcro},Leather,80.00,2019,{Concrete},,14.0
New Balance 669 v2,Neutral,New Balance,{Lace-Up},Suede,75.00,2020,{Trail},,13.6
Skechers GOwalk 5 - Qualify,Neutral,Skechers,{Lace-Up},Mesh,70.00,2020,{Cobblestone},,7.3
New Balance 928 v3,Stability,New Balance,{Lace-Up},Mesh,140.00,,{},,
Skechers Arch Fit - Comfy Wave,Stability,Skechers,{Lace-Up},Knit,95.00,2022,"{Cobblestone, Concrete}",Medium,
Vionic Walker Classic,Stability,Vionic,{Lace-Up},Leather,100.00,2019,{Concrete},,14.1
New Balance 1350,Neutral,New Balance,{Lace-Up},Mesh,130.00,,{Trail},,12.0
Skechers GOwalk 4 - Incredible,Neutral,Skechers,{Slip-On},Mesh,60.00,,{Cobblestone},,7.5
Propet Connelly Strap,Neutral,Propet,{Velcro},Leather,105.00,2019,{Trail},,12.8
Skechers Elite Flex - Wasick,Neutral,Skechers,{Slip-On},Knit,65.00,,{Cobblestone},,9.0
Vionic Malibu,Stability,Vionic,{Slip-On},Canvas,60.00,2021,{Concrete},Medium,
